Start Time,End Time,Subtitle
00:44:34:03,00:44:35:16,We're heading back to the beach.
00:44:35:20,00:44:38:02,- Let's go to Dover! - Yeah!
00:44:38:20,00:44:40:16,"We can't make it across the Channel in this, lads."
00:44:40:16,00:44:44:03,We need to get back to the beach and wait for another ride.
00:44:44:11,00:44:47:06,"You men in the water, float here, save your strength."
00:44:47:10,00:44:48:23,We'll come back for you.
00:44:49:04,00:44:50:04,Oars in!
00:44:51:07,00:44:53:24,"Together, pull!"
00:44:55:06,00:44:57:13,"Together, pull!"
00:44:59:21,00:45:00:21,Pull!
00:45:01:22,00:45:04:02,"Together, pull!"
00:45:06:07,00:45:07:08,Pull!
00:45:08:22,00:45:11:09,"Together, pull!"
00:45:14:15,00:45:16:19,"There's no hiding from this, son."
00:45:19:02,00:45:21:18,"What is it you think you can do out there, on this thing?"
00:45:21:23,00:45:25:02,There's not just us. A call went out.
00:45:25:06,00:45:27:07,"We aren't the only ones to answer, you know."
00:45:27:11,00:45:29:03,You don't even have guns.
00:45:29:12,00:45:30:12,Do you have a gun?
00:45:30:16,00:45:33:11,"Yes, of course. A rifle, a 303."
00:45:33:15,00:45:36:16,Did it help you against the dive bombers and the U-boats?
00:45:37:21,00:45:39:13,You're an old fool.
00:45:40:18,00:45:42:14,I'm not going back.
00:45:43:04,00:45:44:10,I'm not going back.
00:45:45:03,00:45:46:03,Turn it around.
00:45:47:05,00:45:48:15,I'm not turning round.
00:45:49:07,00:45:50:11,Turn it around!
00:45:52:05,00:45:53:10,Turn it—
00:45:55:10,00:45:56:23,"- Calm it down, mate. - Turn it around!"
00:45:57:01,00:45:58:01,"Wait, wait!"
00:45:58:05,00:45:59:15,"Calm it down, mate."
00:46:01:02,00:46:02:02,George?
00:46:02:22,00:46:03:22,George!
00:46:06:17,00:46:07:17,What have you done?
00:46:09:10,00:46:10:21,"Okay, you're all right, George."
00:46:11:15,00:46:12:19,You're all right.
00:46:13:13,00:46:16:13,"Hang on. Okay. Okay, just..."
00:46:16:17,00:46:18:05,That's it. That's good enough.
00:46:18:09,00:46:21:07,It's gonna keep some pressure on. There we go.
00:46:21:11,00:46:23:01,There we go.
00:46:23:05,00:46:24:11,"Can you hear me, George?"
00:48:59:01,00:49:00:12,"Come on, lads!"
00:49:01:19,00:49:04:15,"Come on! Come on, boys!"
00:51:10:03,00:51:11:07,It's a pier.
00:51:12:09,00:51:13:23,For when the water comes in.
00:51:18:12,00:51:19:21,The tide's turning now.
00:51:21:23,00:51:22:23,How can you tell?
00:51:25:10,00:51:26:21,The bodies come back.
00:51:57:17,00:51:58:17,Hey.
00:52:11:01,00:52:12:17,"Hey, Highlanders!"
00:52:22:15,00:52:24:07,"Hey, Highlanders!"
00:52:24:11,00:52:25:16,What's that way?
00:52:26:07,00:52:27:08,A boat.
00:52:27:12,00:52:28:22,She's grounded.
00:52:29:02,00:52:31:04,"Not when the tide comes in, she's not."
00:52:48:10,00:52:51:01,Be a brave lad.
00:52:53:14,00:52:55:01,You and Mr. Dawson?
00:52:57:03,00:52:58:13,It's the best thing I've ever done.
00:52:59:07,00:53:01:17,You're all right. You're okay.
00:53:12:19,00:53:15:07,Sea Cadet. It's the only thing I've ever done.
00:53:15:11,00:53:17:15,It's all right. It's okay. Just have some water.
00:53:20:11,00:53:22:03,I told my dad...
00:53:22:07,00:53:24:11,I've done nothing at school
00:53:26:09,00:53:28:13,and that I would do something one day.
00:53:31:08,00:53:33:19,Maybe get in the local paper.
00:53:34:01,00:53:36:06,Maybe my teachers would see it.
00:53:36:10,00:53:37:23,"Okay, get some rest."
00:53:38:15,00:53:41:03,I need you back up on deck as soon as you're able.
00:53:42:10,00:53:43:10,I can't.
00:53:44:03,00:53:45:16,What?
00:53:49:14,00:53:50:22,I can't see.
00:54:50:21,00:54:51:21,Sir.
00:54:53:05,00:54:55:16,The French have been forced back on the western side.
00:54:56:14,00:54:57:23,They're still holding a perimeter?
00:54:58:02,00:54:59:02,For now.
00:55:00:16,00:55:02:22,Officer coming through. Move yourselves. Move yourselves!
00:55:13:17,00:55:15:02,Where are the destroyers?
00:55:15:06,00:55:16:19,There'll be one soon.
00:55:19:22,00:55:20:22,One?
00:55:21:01,00:55:23:15,"After yesterday's losses, it's one ship on the mole at a time."
00:55:23:19,00:55:24:21,The battle is here.
00:55:25:01,00:55:26:14,What the hell are they saving them for?
00:55:26:17,00:55:28:04,The next battle.
00:55:28:08,00:55:29:19,The one for Britain.
00:55:29:23,00:55:31:22,It's the same with the planes.
00:55:34:01,00:55:35:16,But it's right there.
00:55:36:09,00:55:37:09,You can practically—
00:55:37:13,00:55:39:14,"Seeing home doesn't help us get there, Colonel."
00:55:39:18,00:55:41:17,They need to send more ships.
00:55:42:15,00:55:44:05,Every hour the enemy pushes closer.
00:55:45:01,00:55:47:01,They've activated the small vessels pool.
00:55:48:00,00:55:49:00,Small vessels?
00:55:49:04,00:55:51:15,It's the list of civilian boats for requisition.
00:55:52:03,00:55:53:03,Civilian?
00:55:54:23,00:55:56:18,We need destroyers.
00:55:56:21,00:55:58:16,Small boats can load from the beach.
00:55:58:20,00:56:00:02,Not in these conditions.
00:56:00:06,00:56:02:18,"Well, I'd rather face waves than dive bombers."
00:56:05:17,00:56:08:11,"No, you're right. They won't get up in this."
00:56:09:19,00:56:12:14,The Royal Engineers are building piers from lorries.
00:56:12:18,00:56:15:09,At least that should help us when the tide comes back.
00:56:15:13,00:56:17:17,"Well, we'll know in six hours' time."
00:56:18:17,00:56:20:05,I thought the tides were every three?
00:56:21:23,00:56:24:18,"Then it's good that you're army and I'm navy, isn't it?"
00:56:26:05,00:56:28:12,There. Vanquisher.
00:56:43:08,00:56:44:13,Where's the crew?
00:56:44:17,00:56:46:14,Probably got spooked after they ran aground.
00:56:47:09,00:56:48:22,Scarpered up the beach.
00:56:49:09,00:56:50:09,Why?
00:56:50:13,00:56:53:18,'Cause we're outside the perimeter. Enemy could be right there.
00:56:54:22,00:56:57:08,"All right, best shut ourselves inside, boys."
00:56:57:12,00:56:58:12,Wait for the high tide.
00:56:58:16,00:57:00:06,How long's that?
00:57:00:10,00:57:02:01,Every three hours.
00:57:25:15,00:57:27:17,I've put a bit of pressure on it.
00:57:27:21,00:57:29:20,"Strapped him up, made him comfortable."
00:57:31:02,00:57:32:02,What?
00:57:34:10,00:57:35:10,"It's bad, Dad."
00:57:38:10,00:57:39:22,"Well, should we turn back?"
00:57:46:07,00:57:47:07,We've come so far.
00:57:48:16,00:57:50:04,"Dad, is that one of ours?"
00:57:51:17,00:57:55:00,That's a Heinkel. They'll go for that minesweeper there.
00:57:55:12,00:57:57:11,Hang on. Shouldn't we stand by to pick up survivors?
00:57:57:11,00:57:59:08,To do that we have to survive ourselves.
00:58:04:03,00:58:06:07,Poke your head out. See if the water's come in.
00:58:11:18,00:58:13:06,"Talkative sod, aren't you?"
00:58:39:08,00:58:41:03,It's barely come in at all.
00:58:41:07,00:58:43:11,- Fuck's sake. - Calm down.
00:58:43:15,00:58:45:20,"What goes out comes back in again, right?"
00:58:45:24,00:58:47:10,"Yeah, but how long?"
00:59:04:00,00:59:05:00,Spitfires!
00:59:05:21,00:59:06:22,Come on.
00:59:13:13,00:59:14:14,"Come on, come on."
00:59:23:08,00:59:24:16,"Dad, he got him!"
00:59:24:20,00:59:26:11,Yeah! Yeah!
00:59:33:19,00:59:35:08,The Heinkel's moving off.
00:59:40:11,00:59:41:11,Yeah.
00:59:43:02,00:59:44:02,"Oh, no."
00:59:46:01,00:59:47:20,Smoke from the Spitfire!
00:59:49:04,00:59:51:00,Watch for a parachute!
00:59:57:20,00:59:58:20,Oi.
01:00:03:20,01:00:05:12,Oi. Oi.
01:00:51:14,01:00:52:22,Are you German?
01:00:53:02,01:00:54:10,"No, Dutch. Dutch!"
01:00:55:19,01:00:56:19,Merchant navy.
01:00:57:15,01:00:59:03,Here to pick you up. To help you.
01:00:59:07,01:01:00:23,Why'd you leave your boat?
01:01:01:03,01:01:02:09,In case the Germans come.
01:01:02:24,01:01:05:02,We wait up the beach.
01:01:05:06,01:01:06:21,With the soldiers. Wait for the tide.
01:01:07:01,01:01:09:08,You came back. The tide must be in.
01:01:10:12,01:01:12:05,"Coming. Coming, yes."
01:01:12:16,01:01:14:13,But more hours till we float.
01:01:14:20,01:01:15:20,Hours?
01:01:16:00,01:01:17:11,Why'd you come back?
01:01:19:09,01:01:20:13,Not so heavy when I left.
01:01:33:20,01:01:35:10,No 'chute!
01:01:40:11,01:01:41:11,"Best of luck, Collins."
01:01:46:24,01:01:48:21,"Collins, do you read?"
01:02:14:24,01:02:16:01,He's down.
01:02:59:04,01:03:00:04,Dad.
01:03:00:08,01:03:01:13,"Dad, watch the engine."
01:03:02:10,01:03:04:21,"Dad, he's down. There was no 'chute."
01:03:09:04,01:03:10:12,"Dad, come on. There was no 'chute."
01:03:11:12,01:03:12:12,He's probably dead.
01:03:12:16,01:03:14:20,"Damn it, I hear you, Peter! I hear you!"
01:03:18:04,01:03:19:21,He may be alive. Maybe.
01:03:21:22,01:03:23:18,We may be able to help him.
01:04:17:09,01:04:19:15,No! Then they'll know we're in here.
01:04:19:19,01:04:21:07,Why else are they shooting at us?
01:04:21:19,01:04:23:08,Look at the grouping.
01:04:27:04,01:04:28:15,Target practice.
01:05:29:20,01:05:33:06,"Go. Plug it. Go, go."
01:05:53:12,01:05:54:19,We have to plug it.
01:05:54:23,01:05:56:15,"After you, mate."
01:06:18:16,01:06:20:04,You ready? Go!
01:06:24:21,01:06:27:09,How do we get off? Do we need to ditch some ballast?
01:06:27:19,01:06:29:14,Weight! Do we need to lose weight?
01:06:29:18,01:06:31:12,"Weight. Weight, yes."
01:06:31:16,01:06:32:24,Yes.
01:06:33:04,01:06:34:13,Somebody needs to get off.
01:06:35:14,01:06:36:24,Well volunteered.
