Start Time,End Time,Subtitle
00:31:04:11,00:31:08:18,"The more you change things, the quicker the projections start to converge on you."
00:31:08:22,00:31:09:23,Converge?
00:31:10:03,00:31:12:05,They sense the foreign nature of the dreamer.
00:31:12:09,00:31:15:01,"They attack, like white blood cells fighting an infection."
00:31:15:05,00:31:18:01,"- What, they're gonna attack us? - No, no."
00:31:18:15,00:31:20:03,Just you.
00:31:21:10,00:31:22:21,[METAL CREAKING]
00:31:24:02,00:31:28:08,"This is great, but I'm telling you, if you keep changing things like this..."
00:31:31:20,00:31:34:19,"Jeez, mind telling your subconscious to take it easy?"
00:31:34:23,00:31:37:15,It's my subconscious. Remember? I can't control it.
00:32:31:08,00:32:32:17,Very impressive.
00:32:44:10,00:32:47:23,"I know this bridge. This place is real, isn't it?"
00:32:48:03,00:32:50:11,"Yeah, I cross it every day to get to the college."
00:32:50:15,00:32:54:01,Never re-create places from your memory. Always imagine new places.
00:32:54:05,00:32:56:01,"You draw from stuff you know, right?"
00:32:56:05,00:33:00:10,Only use details. A streetlamp or a phone booth. Never entire areas.
00:33:00:14,00:33:02:17,#NAME?
00:33:02:22,00:33:06:10,...is the easiest way to lose your grasp on what's real and what is a dream.
00:33:06:14,00:33:08:16,#NAME?
00:33:08:20,00:33:10:20,"This has nothing to do with me, understand?"
00:33:10:24,00:33:12:23,That why you need me to build your dreams?
00:33:13:03,00:33:15:16,"Hey, get off of her. Back up. Back up."
00:33:15:20,00:33:17:11,- Cobb! Cobb! - Get off of her!
00:33:17:15,00:33:19:14,- Let me go! Let me go! - Mal!
00:33:20:02,00:33:22:04,- Mal! - Cobb! Wake me up!
00:33:22:08,00:33:24:03,- Wake me up! Wake me up! - No!
00:33:24:07,00:33:25:19,"- Mal, no! No! - Wake me up!"
00:33:25:23,00:33:27:06,[GASPING]
00:33:27:10,00:33:31:10,"Hey, hey, hey. Look at me. You're okay. You're okay."
00:33:31:14,00:33:34:19,- Hey. - Why wouldn't I wake up?
00:33:35:02,00:33:36:17,There was still time on the clock.
00:33:36:21,00:33:39:10,You can't wake up from within the dream unless you die.
00:33:39:14,00:33:41:04,- She'll need a totem. ARIADNE: What?
00:33:41:08,00:33:42:19,"A totem, it's a small personal..."
00:33:42:23,00:33:45:13,"That's some subconscious you've got on you, Cobb!"
00:33:45:17,00:33:47:13,- She's a real charmer. - Oh.
00:33:47:17,00:33:50:08,- I see you met Mrs. Cobb. - She's his wife?
00:33:50:12,00:33:54:06,"Yeah. So a totem. You need a small object, potentially heavy."
00:33:54:10,00:33:56:21,Something you can have on you that no one else knows.
00:33:57:01,00:33:58:07,ARIADNE: Like a coin? ARTHUR: No.
00:33:58:11,00:34:03:03,"It needs to be more unique than that. Like, this is a loaded die."
00:34:04:05,00:34:07:03,"No, I can't let you touch it. That would defeat the purpose."
00:34:07:07,00:34:11:11,"See, only I know the balance and the weight of this particular loaded die."
00:34:11:15,00:34:13:11,"That way, when you look at your totem..."
00:34:13:15,00:34:16:18,...you know beyond a doubt that you're not in someone else's dream.
00:34:20:04,00:34:24:11,"I don't know if you can't see what's going on, or if you just don't want to..."
00:34:24:15,00:34:28:05,...but Cobb has some serious problems that he's tried to bury down there.
00:34:28:09,00:34:32:08,And I'm not about to just open my mind to someone like that.
00:34:37:04,00:34:38:07,[DOOR CLOSES]
00:34:38:11,00:34:41:20,She'll be back. I've never seen anyone pick it up that quickly before.
00:34:42:08,00:34:46:12,"Reality's not gonna be enough for her now, and when she comes back..."
00:34:47:04,00:34:49:20,"When she comes back, you're gonna have her building mazes."
00:34:50:00,00:34:52:07,#NAME?
00:34:52:11,00:34:55:14,"Eames? No, he's in Mombasa. It's Cobol's back yard."
00:34:55:19,00:34:57:08,It's a necessary risk.
00:34:57:18,00:35:01:00,"- Well, there's plenty of good thieves. - We don't just need a thief."
00:35:02:03,00:35:03:04,We need a forger.
00:35:11:21,00:35:14:11,"Rub them together all you want, they're not gonna breed."
00:35:15:01,00:35:16:01,You never know.
00:35:16:24,00:35:19:01,COBB: I'm gonna get you a drink.
00:35:21:05,00:35:22:13,You're buying.
00:35:29:01,00:35:31:08,- Your spelling hasn't improved. - Piss off.
00:35:31:12,00:35:33:11,How's your handwriting?
00:35:33:15,00:35:35:11,- It's versatile. - Good.
00:35:35:15,00:35:36:21,Thank you very much.
00:35:37:13,00:35:38:21,Inception.
00:35:39:03,00:35:41:23,"Now, before you bother telling me it's impossible, let me..."
00:35:42:03,00:35:45:10,"No, it's perfectly possible. It's just bloody difficult."
00:35:45:14,00:35:48:21,Interesting. Because Arthur keeps telling me it can't be done.
00:35:49:08,00:35:52:07,Hmm. Arthur. You still working with that stick in the mud?
00:35:52:11,00:35:54:04,"He is good at what he does, right?"
00:35:54:08,00:35:56:10,"Oh, he's the best, but he has no imagination."
