Start Time,End Time,Subtitle
00:18:38:11,00:18:42:07,Lot of guys been going down the tunnels when they age out.
00:18:44:14,00:18:46:16,Say you can live down there.
00:18:47:08,00:18:48:21,Say there's work down there.
00:18:49:01,00:18:50:13,Work?
00:18:50:20,00:18:53:12,What kind of work are you gonna find in the sewers?
00:18:53:16,00:18:56:07,"More than you can find up here, I guess."
00:18:57:04,00:18:58:10,So you know about him?
00:18:58:14,00:18:59:20,Of course.
00:19:01:13,00:19:03:09,Do you think he's coming back?
00:19:05:13,00:19:06:21,I don't know.
00:19:20:14,00:19:22:06,You brought a date?
00:19:22:10,00:19:25:15,I like having someone around to open doors for me.
00:19:26:22,00:19:29:18,Right hand. No partials.
00:19:33:16,00:19:36:03,#NAME?
00:19:36:23,00:19:39:00,"Not so fast, handsome."
00:19:39:07,00:19:40:13,You got something for me?
00:19:42:03,00:19:43:15,"Ah, yes."
00:19:49:16,00:19:51:02,
00:19:53:05,00:19:56:08,I don't know what you're planning to do with Mr. Wayne's prints...
00:19:56:12,00:19:59:07,...but I'm guessing you'll need his thumb.
00:20:00:02,00:20:02:04,"You don't count so good, huh?"
00:20:02:08,00:20:03:14,I count fine.
00:20:03:24,00:20:07:04,"In fact, I'm counting to 10 right now."
00:20:09:15,00:20:10:16,Okay.
00:20:14:19,00:20:17:11,"My friend's outside. Just hit ""send."""
00:20:21:18,00:20:22:23,
00:20:29:05,00:20:30:14,This place is a little dead.
00:20:30:18,00:20:33:24,It'll liven up in a minute. Trust me.
00:20:35:14,00:20:36:17,Is everything okay?
00:20:36:21,00:20:38:21,Great. Catch you later.
00:20:42:07,00:20:43:09,
00:20:43:13,00:20:44:21,Hmm.
00:20:45:13,00:20:47:21,It would have been a lot easier...
00:20:48:08,00:20:50:06,...to just give me what we agreed.
00:20:50:11,00:20:52:20,We can't have loose ends.
00:20:53:02,00:20:56:20,"And even in that dress, no one's gonna miss you."
00:20:57:00,00:20:58:12,No.
00:20:58:16,00:21:00:13,But my friend over there?
00:21:00:17,00:21:03:21,Every cop in the city's missing him.
00:21:04:01,00:21:05:10,That's cute.
00:21:05:13,00:21:08:07,But they're not gonna be looking in a place like this.
00:21:08:14,00:21:11:08,I don't know. You did just use his cell phone.
00:21:14:13,00:21:16:09,
00:21:21:14,00:21:22:23,- Go! - Go!
00:21:39:06,00:21:40:22,Police! Get down now!
00:21:41:14,00:21:43:01,
00:21:44:05,00:21:45:08,Help me! Help me!
00:21:45:12,00:21:47:13,"Help me, please! Please help me!"
00:21:49:04,00:21:51:03,
00:21:51:06,00:21:52:23,
00:21:58:01,00:22:00:09,"Keep some pressure on that, sweetheart."
00:22:02:23,00:22:04:02,Call me?
00:22:07:02,00:22:09:08,"- You okay, miss? - He's bleeding. You gotta help him."
00:22:14:15,00:22:15:17,I got the congressman.
00:22:33:11,00:22:35:16,
00:22:44:16,00:22:45:23,Clear!
00:22:50:02,00:22:54:01,Manhole! Get this up! Get the DWP down here!
00:22:54:24,00:22:56:13,"You three, down with me."
00:22:56:17,00:23:00:03,"You two, you go down, cover the next exit!"
00:23:16:19,00:23:18:04,"What, they went down there?"
00:23:43:04,00:23:44:10,
00:23:49:14,00:23:52:18,"- We're gonna go down there, right? - That was a gas explosion, kid."
00:23:52:22,00:23:56:04,- Wasn't gas. It's a sewer. - No one goes in till we know what's there.
00:23:56:08,00:23:58:05,"We know, sir. The police commissioner."
00:23:58:08,00:24:00:05,Someone get this hothead out of here?
00:24:00:09,00:24:02:21,And where's that DWP guy?
00:24:45:12,00:24:47:11,Why are you here?
00:24:48:01,00:24:49:02,
00:24:49:06,00:24:50:19,Answer him.
00:24:52:11,00:24:54:09,I was asking you.
00:24:54:18,00:24:56:07,It's the police commissioner.
00:25:00:02,00:25:02:13,And you brought him down here?
00:25:03:05,00:25:05:19,- We didn't know what to do - You panicked.
00:25:06:08,00:25:09:07,And your weakness has cost the lives of three others.
00:25:09:11,00:25:10:14,"No, he's alone."
00:25:12:10,00:25:13:20,
00:25:14:11,00:25:16:00,Search him.
00:25:16:04,00:25:17:17,Then I will kill you.
00:25:37:17,00:25:39:07,
00:25:47:06,00:25:50:04,- He's dead - So show me his body.
00:25:50:08,00:25:53:18,The water runs to any one of the outflows. We'd never find him.
00:25:59:19,00:26:01:24,- Follow him! - Follow him?
00:26:02:03,00:26:03:05,
00:26:17:18,00:26:19:13,You okay? You okay?
00:26:19:17,00:26:21:15,"Hey, hey, you awake?"
00:26:21:19,00:26:23:08,
00:26:24:17,00:26:25:18,
00:26:28:06,00:26:29:21,I need to see Bruce Wayne.
00:26:30:01,00:26:32:12,"I'm sorry, Mr. Wayne doesn't take unscheduled calls."
00:26:32:16,00:26:34:11,Even from a police officer.
00:26:34:15,00:26:38:07,And if I go get a warrant for the investigation of Harvey Dent's murder?
00:26:38:11,00:26:40:17,That still count as unscheduled?
00:26:44:20,00:26:46:22,"What can I do for you, officer?"
00:26:47:06,00:26:49:08,Commissioner Gordon's been shot.
00:26:51:16,00:26:53:17,He chased a gunman down into the sewers.
00:26:53:21,00:26:57:05,"When I pulled him out, he was babbling about an underground army."
00:26:57:09,00:26:59:05,A masked man called Bane.
00:27:00:01,00:27:02:09,Shouldn't you be telling your superior officers?
00:27:02:13,00:27:05:15,They asked me if he saw any giant alligators.
00:27:06:02,00:27:07:19,He needs you.
00:27:09:09,00:27:10:16,He needs the Batman.
00:27:12:10,00:27:16:05,"- If Commissioner Gordon thinks... - Oh, he doesn't know or care who you are."
00:27:17:00,00:27:18:23,But we've met before.
00:27:20:02,00:27:24:05,"It was a long time ago. I was a kid. Uh, St. Swithin's."
00:27:24:21,00:27:28:15,It used to be funded by the Wayne Foundation. It's an orphanage.
00:27:29:14,00:27:33:17,"My mom died when I was small. It was a car accident, I don't really remember it."
00:27:34:08,00:27:39:12,But my dad got shot a couple years later over a gambling debt...
00:27:39:18,00:27:42:24,...and I remember that one just fine.
00:27:44:08,00:27:47:06,"Not a lot of people know what it feels like, do they?"
00:27:47:15,00:27:49:09,To be angry...
00:27:50:03,00:27:51:23,...in your bones.
00:27:54:12,00:27:56:16,"I mean, they understand."
00:27:57:06,00:27:58:16,Foster parents.
00:27:58:20,00:28:00:20,Everybody understands...
00:28:01:03,00:28:02:15,...for a while.
00:28:03:09,00:28:07:03,And then they want the angry little kid to do something he knows he can't do.
00:28:07:16,00:28:08:19,Move on.
00:28:09:08,00:28:11:08,"So after a while, they stop understanding."
00:28:11:12,00:28:13:09,They send the angry kid to a boys' home.
00:28:13:18,00:28:17:13,I figured it out too late. You gotta learn to hide the anger.
00:28:18:06,00:28:20:14,Practice smiling in a mirror.
00:28:22:10,00:28:23:22,It's like putting on a mask.
00:28:25:04,00:28:28:17,"So you showed up this one day, in a cool car."
00:28:28:21,00:28:30:17,Pretty girl on your arm.
00:28:31:19,00:28:33:14,We were so excited.
00:28:33:21,00:28:36:11,"Bruce Wayne, billionaire orphan."
00:28:36:22,00:28:40:16,"I mean, we used to make up stories about you, man. Legends."
00:28:40:20,00:28:44:15,"And, you know, with the other kids, that's all it was, just stories, but..."
00:28:46:06,00:28:48:12,"Right when I saw you, I knew who you really were."
00:28:49:23,00:28:52:19,I'd seen that look on your face before.
00:28:53:20,00:28:55:23,It's the same one I taught myself.
00:28:57:22,00:29:00:19,I don't know why you took the fall for Dent's murder...
00:29:01:16,00:29:03:17,...but I'm still a believer in the Batman...
00:29:04:13,00:29:06:05,...even if you're not.
00:29:08:22,00:29:13:20,Why did you say that your boys' home used to be funded by the Wayne Foundation?
00:29:14:00,00:29:15:18,Because the money stopped.
00:29:15:22,00:29:20:03,Might be time to get some fresh air. Start paying attention to the details.
00:29:21:00,00:29:23:09,Some of those details might need your help.
00:29:25:04,00:29:26:13,You check that name? Bane?
00:29:26:16,00:29:29:09,He's a mercenary. No other known names.
00:29:29:12,00:29:31:24,Him and his men were behind a coup in West Africa...
00:29:32:03,00:29:36:16,...that secured mining operations for our friend John Daggett.
00:29:37:09,00:29:40:04,- Now Daggett's brought them here. - Or so it seems.
00:29:42:06,00:29:44:09,- I'll keep digging. - Yeah.
00:29:45:14,00:29:51:19,"Alfred, why did the Wayne Foundation stop funding boys' homes in the city?"
00:29:51:23,00:29:57:01,The foundation is funded by the profits of Wayne Enterprises.
00:29:57:09,00:29:58:22,There have to be some.
00:29:59:02,00:30:02:10,"- Time to talk to Mr. Fox, I think. - I'll get him on the phone."
00:30:02:14,00:30:06:14,"No, no, no. Do we still have any cars around the place?"
00:30:06:18,00:30:08:15,Yes. One or two.
00:30:08:19,00:30:10:19,I need an appointment at the hospital for my leg.
00:30:10:23,00:30:13:17,- Which hospital? - Whichever one Jim Gordon's in.
00:30:18:03,00:30:20:22,- I have seen worse cartilage in knees - That's good.
00:30:21:02,00:30:23:14,No. That's because there is no cartilage in your knee.
00:30:23:18,00:30:27:02,And not much of any use in your elbows or your shoulders.
00:30:27:06,00:30:29:15,Between that and the scar tissue on your kidneys...
00:30:29:19,00:30:32:11,...the residual concussive damage to your brain tissue...
00:30:32:15,00:30:35:07,...and the general scarred-over quality of your body...
00:30:35:11,00:30:38:09,...I cannot recommend that you go heli-skiing. - Right.
00:30:53:20,00:30:56:09,We were in this together...
00:30:58:12,00:31:00:01,...then you were gone.
00:31:00:05,00:31:02:08,The Batman wasn't needed any more.
00:31:02:12,00:31:05:15,#NAME?
00:31:07:02,00:31:13:03,And now there's evil rising from where we tried to bury it.
00:31:13:08,00:31:17:19,The Batman has to come back.
00:31:17:23,00:31:20:10,What if he doesn't exist any more?
00:31:20:14,00:31:24:01,He must.
00:31:37:18,00:31:39:15,"You took my goddamn wallet, didn't you?"
00:31:39:19,00:31:42:16,"- You f... You took my wallet! - No, I..."
00:31:43:09,00:31:45:14,- Get out - She took my... Ah!
00:31:45:18,00:31:48:08,- Now! - Creep!
00:31:48:12,00:31:51:10,I don't know what he's so upset about. There's only 60 bucks in here.
00:31:51:14,00:31:53:08,Probably the watch.
00:31:53:18,00:31:55:08,
00:32:05:00,00:32:06:15,
00:32:08:14,00:32:09:15,Who's that?
00:32:09:19,00:32:11:22,A stiff can barely climb out of his sports car.
00:32:12:02,00:32:14:05,"- No, that's Bruce Wayne! - Mr. Wayne, over here!"
00:32:14:09,00:32:15:19,
00:32:15:23,00:32:18:05,
00:32:19:06,00:32:21:16,- I'm not sure if my assistant... - Right through here.
00:32:21:20,00:32:23:08,Thank you so much.
00:32:23:14,00:32:25:16,
00:32:28:14,00:32:32:09,Bruce Wayne at a charity ball.
00:32:33:10,00:32:35:07,"Miss Tate, isn't it?"
00:32:36:07,00:32:39:08,"Even before you became a recluse, you never came to these things."
00:32:39:19,00:32:43:04,The proceeds go to the big fat spread. It's not about charity.
00:32:43:08,00:32:47:16,It's about feeding the ego of whichever society hag laid this on.
00:32:48:04,00:32:50:14,"Actually, this is my party, Mr. Wayne."
00:32:50:21,00:32:52:10,Oh.
00:32:52:19,00:32:57:22,"And the proceeds will go where they should, because I paid for the big fat spread myself."
00:32:58:08,00:32:59:17,That's very generous of you.
00:32:59:23,00:33:03:20,You have to invest if you want to restore balance to the world.
00:33:03:24,00:33:05:18,Take our clean-energy project.
00:33:06:07,00:33:08:22,Sometimes the investment doesn't pay off.
00:33:09:17,00:33:13:09,"- I'm sorry. - You have a practiced apathy, Mr. Wayne."
00:33:13:13,00:33:18:16,But a man who doesn't care about the world doesn't spend half his fortune to save it.
00:33:19:16,00:33:22:16,And isn't so wounded when it fails...
00:33:23:02,00:33:24:17,...that he goes into hiding.
00:33:26:04,00:33:28:06,"Have a good evening, Mr. Wayne."
00:33:32:07,00:33:33:23,Mind if I cut in?
00:33:35:01,00:33:36:22,Thank you.
00:33:38:11,00:33:39:13,
00:33:39:18,00:33:42:23,- You don't seem happy to see me. - You were supposed to be a shut-in.
00:33:43:02,00:33:44:24,I felt like some fresh air.
00:33:45:19,00:33:47:22,Why didn't you call the police?
00:33:48:06,00:33:50:22,I have a powerful friend who deals with things like this.
00:33:51:02,00:33:55:09,That's a brazen costume for a cat burglar.
00:33:55:22,00:33:58:12,Yeah? Who are you pretending to be?
00:33:58:16,00:34:01:09,"Bruce Wayne, eccentric billionaire."
00:34:02:11,00:34:04:11,- Who's your date? - His wife's in Ibiza.
00:34:04:15,00:34:08:10,"She left her diamonds behind, though. Worried they might get stolen."
00:34:08:14,00:34:10:15,"It's pronounced ""Ibiza."""
00:34:11:05,00:34:14:21,"You wouldn't want these folks realizing you're a crook, not a social climber."
